STATE/UT,DISTRICT,YEAR,MURDER,RAPE,K&A,ROBBERY,BURGLARY,THEFT,DD,IMG,sum_of_crime_numbers
UTTAR PRADESH,BADAUN,2011,97,18,137,34,50,156,48,0,540
UTTAR PRADESH,BAGHPAT,2011,66,12,88,49,65,269,17,0,566
UTTAR PRADESH,BAHRAICH,2011,53,57,133,28,74,223,62,0,630
UTTAR PRADESH,BALLIA,2011,33,7,66,7,66,135,17,0,331
UTTAR PRADESH,BALRAMPUR,2011,16,10,50,8,28,44,16,0,172
UTTAR PRADESH,BANDA,2011,40,26,48,2,59,121,29,0,325
UTTAR PRADESH,BARABANKI,2011,71,36,142,13,60,201,25,0,548
UTTAR PRADESH,BAREILLY,2011,116,34,205,56,129,609,63,0,1212
UTTAR PRADESH,BASTI,2011,21,7,29,15,9,45,11,0,137
UTTAR PRADESH,BHIM NAGAR,2011,72,34,114,48,65,196,29,0,558
UTTAR PRADESH,BIJNOR,2011,85,39,128,35,45,249,30,0,611
UTTAR PRADESH,BULANDSHAHAR,2011,162,47,218,69,108,501,50,0,1155
UTTAR PRADESH,CHANDOLI,2011,19,8,20,7,24,83,17,0,178
UTTAR PRADESH,CHITRAKOOT DHAM,2011,24,20,25,6,51,73,14,0,213
UTTAR PRADESH,CSM NAGAR,2011,30,20,99,8,40,106,17,0,320
UTTAR PRADESH,DEORIA,2011,34,8,58,11,45,100,27,0,283
UTTAR PRADESH,ETAH,2011,54,19,69,23,23,191,30,0,409
UTTAR PRADESH,ETAWAH,2011,59,13,81,18,30,208,42,0,451
UTTAR PRADESH,FAIZABAD,2011,49,27,119,24,83,230,11,0,543
UTTAR PRADESH,FATEHGARH,2011,61,16,91,12,40,154,25,0,399
UTTAR PRADESH,FATEHPUR,2011,64,40,106,30,41,139,45,0,465
UTTAR PRADESH,FIROZABAD,2011,96,32,174,53,64,389,43,0,851
UTTAR PRADESH,G.R.P.,2011,30,2,13,216,1,3043,1,0,3306
UTTAR PRADESH,GAUTAMBUDH NAGAR,2011,88,25,141,235,170,2967,25,0,3651
UTTAR PRADESH,GHAZIABAD,2011,162,22,257,135,212,3108,47,0,3943
UTTAR PRADESH,GHAZIPUR,2011,46,11,21,32,29,94,35,0,268
UTTAR PRADESH,GONDA,2011,46,34,129,28,98,201,27,0,563
UTTAR PRADESH,GORAKHPUR,2011,105,50,232,47,205,1179,41,0,1859
UTTAR PRADESH,HAMIRPUR,2011,34,12,38,4,15,69,15,0,187
UTTAR PRADESH,HARDOI,2011,61,24,130,8,62,182,32,0,499
UTTAR PRADESH,HATHRAS,2011,61,35,93,40,48,210,24,0,511
UTTAR PRADESH,J.P.NAGAR,2011,66,44,61,32,39,180,16,0,438
UTTAR PRADESH,JALAUN,2011,38,7,49,11,20,115,40,0,280
UTTAR PRADESH,JAUNPUR,2011,41,14,93,19,53,138,42,0,400
UTTAR PRADESH,JHANSI,2011,66,19,97,40,104,387,28,0,741
UTTAR PRADESH,KANNAUJ,2011,37,14,107,9,31,99,34,0,331
UTTAR PRADESH,KANPUR NAGAR,2011,159,71,343,133,319,1738,69,0,2832
UTTAR PRADESH,KANSHIRAM NAGAR,2011,46,22,62,13,21,94,22,0,280
UTTAR PRADESH,KAUSHAMBI,2011,52,23,53,26,100,107,22,0,383
UTTAR PRADESH,KHIRI,2011,89,35,140,25,45,296,57,0,687
UTTAR PRADESH,KUSHI NAGAR,2011,50,13,76,3,29,111,35,0,317
UTTAR PRADESH,LALITPUR,2011,19,15,37,10,20,60,14,0,175
UTTAR PRADESH,LUCKNOW,2011,119,55,292,61,454,2167,48,0,3196
UTTAR PRADESH,MAHARAJGANJ,2011,22,18,43,7,20,49,26,0,185
UTTAR PRADESH,MAHOBA,2011,13,16,33,14,31,68,15,0,190
UTTAR PRADESH,MAINPURI,2011,82,33,111,65,55,268,34,0,648
UTTAR PRADESH,MATHURA,2011,113,39,145,73,91,732,36,0,1229
UTTAR PRADESH,MAU,2011,28,19,66,23,68,170,7,0,381
UTTAR PRADESH,MEERUT,2011,189,79,323,235,247,2445,36,0,3554
UTTAR PRADESH,MIRZAPUR,2011,28,3,5,2,20,65,20,0,143
UTTAR PRADESH,MORADABAD,2011,103,55,183,119,111,867,30,0,1468
UTTAR PRADESH,MUZAFFARNAGAR,2011,126,19,238,64,71,508,25,0,1051
UTTAR PRADESH,PANCHSHIL NAGAR,2011,61,18,100,55,61,353,15,0,663
UTTAR PRADESH,PILIBHIT,2011,46,12,69,10,15,105,39,0,296
UTTAR PRADESH,PRABUDDH NAGAR,2011,57,11,66,55,22,207,10,0,428
UTTAR PRADESH,PRATAPGARH,2011,58,24,90,19,59,161,31,0,442
UTTAR PRADESH,RAIBAREILLY,2011,36,29,60,10,42,130,16,0,323
UTTAR PRADESH,RAMABAI NAGAR,2011,50,21,90,13,18,122,29,0,343
UTTAR PRADESH,RAMPUR,2011,79,43,121,72,87,387,26,0,815
UTTAR PRADESH,SAHARANPUR,2011,78,21,90,31,50,436,32,0,738
